obf,side_to_move,n_empties,black_count,white_count,disc_diff_player_minus_opp,count_wthor,edax_score,edax_alpha,edax_beta,a1_minus_energy,b1_energy,b2_energy,e_energy,d4_a1_occupation_energy
------------O------OOX-----XOX----XXOO----XO-O------------------ X;,1,50,6,8,-2,6397,0,-64,64,0.875,2.125,2.875,6.0,10.875
------------------OOXX-----OXX----XXOO----XO-O------------------ X;,1,50,7,7,0,96,4,-64,0,0.0,0.5,10.0,3.0,12.5
--------------------XX----OXXO----XXO----OOOOO------------------ X;,1,50,6,8,-2,14,4,-64,0,1.875,0.125,1.875,10.0,10.875
-------------------OXX-----XXX---OOOOO----XO-O------------------ X;,1,50,6,8,-2,27,6,-64,0,0.875,0.125,2.875,10.0,10.875
-------------------OXX-----XXX----XXOO---OOO-O------------------ X;,1,50,7,7,0,20,6,-64,0,1.375,0.625,3.375,8.0,10.875
-------------------OXX---O-XXX----OXOO----XO-O------------------ X;,1,50,7,7,0,4,6,-64,0,1.875,0.125,3.875,8.0,10.875
--------------------XX----OXXO----OXO-----OOOO----O------------- X;,1,50,5,9,-4,0,8,-64,0,3.375,0.625,1.375,8.0,10.875
-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,1,50,7,7,0,319,-4,0,64,0.6250000000000001,1.375,3.625,7.0,9.625
------------------OOXX----XOX-----XOOO----XO-------O------------ X;,1,50,6,8,-2,344,-4,0,64,1.375,0.625,3.875,8.0,10.875
-------------------OOX----XXOX----XXOO----XO-O------------------ X;,1,50,7,7,0,37,-6,0,64,0.37499999999999994,3.125,2.375,7.0,12.375
------------X-----O-XX----OOXX----XOO-----XOO------------------- X;,1,50,7,7,0,9,-6,0,64,1.375,0.625,5.375,6.0,10.875
----------X--------X-X-----OXX---OOOOO----XO-O------------------ X;,1,50,6,8,-2,3,-6,0,64,1.6249999999999998,0.375,3.625,7.0,9.625
-----------X------O-XX----OOXX----XOO-----XOO------------------- X;,1,50,7,7,0,1,-8,0,64,1.375,0.625,5.375,6.0,10.875
-------------X----O-XX----OXXX---OOOO-----X-O------------------- X;,1,50,7,7,0,1,-8,0,64,0.6250000000000001,0.375,3.625,9.0,9.625
-----------------XO-OX----XOXX----XOO-----XOO------------------- X;,1,50,7,7,0,0,-10,0,64,1.375,4.625,3.375,4.0,10.875
-----------X-------XOX-----XOX----XXOO----XO-O------------------ X;,1,50,8,6,2,0,-14,0,64,0.37499999999999994,0.625,2.375,6.0,10.875
----------X-------X-OX----XOXX----OXO----OX-O------------------- X;,1,50,8,6,2,0,-6,0,64,2.3749999999999996,1.625,4.875,5.0,9.875
--------------------XX---OOXXO----OXX-----XOO------O------------ X;,1,50,7,7,0,1088,0,-64,0,7.5,0.5,1.0,4.0,10.0
